pl_name,hostname,discoverymethod,disc_year,disc_facility
11 Com b,11 Com,Radial Velocity,2007,Xinglong Station
11 Com b,11 Com,Radial Velocity,2007,Xinglong Station
11 UMi b,11 UMi,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg
11 UMi b,11 UMi,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg
11 UMi b,11 UMi,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg
14 And b,14 And,Radial Velocity,2008,Okayama Astrophysical Observatory
14 And b,14 And,Radial Velocity,2008,Okayama Astrophysical Observatory
14 Her b,14 Her,Radial Velocity,2002,W. M. Keck Observatory
14 Her b,14 Her,Radial Velocity,2002,W. M. Keck Observatory
14 Her b,14 Her,Radial Velocity,2002,W. M. Keck Observatory
14 Her b,14 Her,Radial Velocity,2002,W. M. Keck Observatory
14 Her b,14 Her,Radial Velocity,2002,W. M. Keck Observatory
14 Her b,14 Her,Radial Velocity,2002,W. M. Keck Observatory
14 Her b,14 Her,Radial Velocity,2002,W. M. Keck Observatory
14 Her b,14 Her,Radial Velocity,2002,W. M. Keck Observatory
16 Cyg B b,16 Cyg B,Radial Velocity,1996,Multiple Observatories
16 Cyg B b,16 Cyg B,Radial Velocity,1996,Multiple Observatories
16 Cyg B b,16 Cyg B,Radial Velocity,1996,Multiple Observatories
16 Cyg B b,16 Cyg B,Radial Velocity,1996,Multiple Observatories
16 Cyg B b,16 Cyg B,Radial Velocity,1996,Multiple Observatories
16 Cyg B b,16 Cyg B,Radial Velocity,1996,Multiple Observatories
17 Sco b,17 Sco,Radial Velocity,2020,Lick Observatory
18 Del b,18 Del,Radial Velocity,2008,Okayama Astrophysical Observatory
18 Del b,18 Del,Radial Velocity,2008,Okayama Astrophysical Observatory
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008,Gemini Observatory
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008,Gemini Observatory
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008,Gemini Observatory
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008,Gemini Observatory
24 Boo b,24 Boo,Radial Velocity,2018,Okayama Astrophysical Observatory
24 Sex b,24 Sex,Radial Velocity,2010,Lick Observatory
24 Sex c,24 Sex,Radial Velocity,2010,Lick Observatory
2M0437 b,2MASS J04372171+2651014,Imaging,2021,Subaru Telescope
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Imaging,2013,Paranal Observatory
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,2013,W. M. Keck Observatory
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,2013,W. M. Keck Observatory
2MASS J02192210-3925225 b,2MASS J02192210-3925225,Imaging,2015,Cerro Tololo Inter-American Observatory
2MASS J04414489+2301513 b,2MASS J04414489+2301513,Imaging,2010,Hubble Space Telescope
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,2004,Paranal Observatory
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,2004,Paranal Observatory
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,2015,Kepler
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,2015,Kepler
2MASS J22362452+4751425 b,2MASS J22362452+4751425,Imaging,2016,W. M. Keck Observatory
30 Ari B b,30 Ari B,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg
30 Ari B b,30 Ari B,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg
30 Ari B b,30 Ari B,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg
4 UMa b,4 UMa,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg
42 Dra b,42 Dra,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg
47 UMa b,47 UMa,Radial Velocity,1996,Lick Observatory
47 UMa b,47 UMa,Radial Velocity,1996,Lick Observatory
47 UMa b,47 UMa,Radial Velocity,1996,Lick Observatory
47 UMa b,47 UMa,Radial Velocity,1996,Lick Observatory
47 UMa b,47 UMa,Radial Velocity,1996,Lick Observatory
47 UMa c,47 UMa,Radial Velocity,2001,Lick Observatory
47 UMa c,47 UMa,Radial Velocity,2001,Lick Observatory
47 UMa c,47 UMa,Radial Velocity,2001,Lick Observatory
47 UMa d,47 UMa,Radial Velocity,2009,Lick Observatory
47 UMa d,47 UMa,Radial Velocity,2009,Lick Observatory
51 Eri b,51 Eri,Imaging,2015,Gemini Observatory
51 Eri b,51 Eri,Imaging,2015,Gemini Observatory
51 Eri b,51 Eri,Imaging,2015,Gemini Observatory
51 Peg b,51 Peg,Radial Velocity,1995,Haute-Provence Observatory
51 Peg b,51 Peg,Radial Velocity,1995,Haute-Provence Observatory
51 Peg b,51 Peg,Radial Velocity,1995,Haute-Provence Observatory
51 Peg b,51 Peg,Radial Velocity,1995,Haute-Provence Observatory
51 Peg b,51 Peg,Radial Velocity,1995,Haute-Provence Observatory
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory
55 Cnc c,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc c,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc c,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc c,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc c,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc c,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc c,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc c,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory
